#planeta: janeiro
#g: 4.5
#altura: 0.0
#distanciaRede: 40.0
#alturaRede: 5.0
x,y
0.0,0.0
1.900111907364826,0.33169058567750387
3.800223814729652,0.6566803514423308
5.700335722094478,0.974969297294481
7.600447629459304,1.2865574232339543
9.500559536824131,1.591444729260751
11.400671444188957,1.8896312153748704
13.300783351553783,2.181116881576313
15.200895258918608,2.465901727865079
17.101007166283434,2.743985754241168
19.001119073648262,3.015368960704581
20.90123098101309,3.280051347255316
22.801342888377917,3.538032913893375
24.701454795742745,3.7893136606187565
26.601566703107572,4.033893587431462
28.5016786104724,4.2717726943314895
30.401790517837227,4.5029509813188415
32.30190242520205,4.727428448393515
34.202014332566876,4.9452050955555125
36.1021262399317,5.156280922804832
38.002238147296524,5.360655930141476
39.90235005466135,5.558330117565443
41.80246196202617,5.749303485076732
43.702573869390996,5.9335760326753455
45.60268577675582,6.111147760361282
47.502797684120644,6.2820186681345405
49.40290959148547,6.446188755995124
51.30302149885029,6.603658023943029
53.203133406215116,6.75442647197826
55.10324531357994,6.898494100100811
57.003357220944764,7.035860908310686
58.90346912830959,7.166526896607884
60.80358103567441,7.290492064992405
62.703692943039236,7.407756413464251
64.60380485040406,7.518319942023419
66.50391675776889,7.6221826506699095
68.40402866513372,7.719344539403724
70.30414057249855,7.809805608224862
72.20425247986338,7.893565857133323
74.10436438722822,7.970625286129106
76.00447629459305,8.040983895212214
77.90458820195788,8.104641684382644
79.80470010932271,8.161598653640397
